[2025-10-11 | 02:51:44] {client} ('127.0.0.1', 62495) :- joined the room
[2025-10-11 | 10:07:26] {Guest} ('127.0.0.1', 51238) :- received: jeet: ji
[2025-10-11 | 10:07:27] {jeet} ('127.0.0.1', 51259) :- sent: d
[2025-10-11 | 10:07:27] {Guest} ('127.0.0.1', 51238) :- received: jeet: d
[2025-10-11 | 10:07:27] {jeet} ('127.0.0.1', 51259) :- sent: s
[2025-10-11 | 10:07:27] {Guest} ('127.0.0.1', 51238) :- received: jeet: s
[2025-10-11 | 10:07:27] {jeet} ('127.0.0.1', 51259) :- sent: d
[2025-10-11 | 10:07:27] {Guest} ('127.0.0.1', 51237) :- received: jeet: d
[2025-10-11 | 10:07:27] {Guest} ('127.0.0.1', 51238) :- received: jeet: d
[2025-10-11 | 10:07:27] {jeet} ('127.0.0.1', 51259) :- sent: s
[2025-10-11 | 10:07:27] {Guest} ('127.0.0.1', 51237) :- received: jeet: s
[2025-10-11 | 10:07:27] {Guest} ('127.0.0.1', 51238) :- received: jeet: s
[2025-10-11 | 10:07:27] {jeet} ('127.0.0.1', 51259) :- sent: ds
[2025-10-11 | 10:07:27] {Guest} ('127.0.0.1', 51238) :- received: jeet: ds
[2025-10-11 | 10:07:27] {jeet} ('127.0.0.1', 51259) :- sent: d
[2025-10-11 | 10:07:27] {Guest} ('127.0.0.1', 51237) :- received: jeet: d
[2025-10-11 | 10:07:27] {jeet} ('127.0.0.1', 51259) :- sent: s
[2025-10-11 | 10:07:27] {Guest} ('127.0.0.1', 51237) :- received: jeet: s
[2025-10-11 | 10:07:28] {jeet} ('127.0.0.1', 51259) :- sent: d
[2025-10-11 | 10:07:28] {Guest} ('127.0.0.1', 51238) :- received: jeet: d
[2025-10-11 | 10:07:28] {jeet} ('127.0.0.1', 51259) :- sent: s
[2025-10-11 | 10:07:28] {Guest} ('127.0.0.1', 51238) :- received: jeet: s
[2025-10-11 | 10:07:28] {Guest} ('127.0.0.1', 51237) :- received: jeet: s
[2025-10-11 | 10:07:28] {jeet} ('127.0.0.1', 51259) :- sent: d
[2025-10-11 | 10:07:28] {Guest} ('127.0.0.1', 51238) :- received: jeet: d
[2025-10-11 | 10:07:28] {jeet} ('127.0.0.1', 51259) :- sent: s
[2025-10-11 | 10:07:28] {Guest} ('127.0.0.1', 51237) :- received: jeet: s
[2025-10-11 | 10:07:28] {jeet} ('127.0.0.1', 51259) :- sent: d
[2025-10-11 | 10:07:28] {Guest} ('127.0.0.1', 51238) :- received: jeet: d
[2025-10-11 | 10:07:28] {Guest} ('127.0.0.1', 51237) :- received: jeet: d
[2025-10-11 | 10:07:28] {jeet} ('127.0.0.1', 51259) :- sent: s
[2025-10-11 | 10:07:28] {Guest} ('127.0.0.1', 51238) :- received: jeet: s
[2025-10-11 | 10:07:28] {jeet} ('127.0.0.1', 51259) :- sent: d
[2025-10-11 | 10:07:28] {Guest} ('127.0.0.1', 51238) :- received: jeet: d
[2025-10-11 | 10:07:30] {Guest} ('127.0.0.1', 51238) :- sent: sd
[2025-10-11 | 10:07:30] {Guest} ('127.0.0.1', 51237) :- received: Guest: sd
[2025-10-11 | 10:07:30] {Guest} ('127.0.0.1', 51238) :- sent: s
[2025-10-11 | 10:07:30] {jeet} ('127.0.0.1', 51259) :- received: Guest: s

[2025-10-11 | 10:07:31] {Guest} ('127.0.0.1', 51238) :- sent: ds
[2025-10-11 | 10:07:31] {Guest} ('127.0.0.1', 51237) :- received: Guest: ds
[2025-10-11 | 10:07:31] {Guest} ('127.0.0.1', 51238) :- sent: d
[2025-10-11 | 10:07:31] {Guest} ('127.0.0.1', 51237) :- received: Guest: d
[2025-10-11 | 10:07:31] {Guest} ('127.0.0.1', 51238) :- sent: s
[2025-10-11 | 10:07:31] {jeet} ('127.0.0.1', 51259) :- received: Guest: s

[2025-10-11 | 10:07:31] {Guest} ('127.0.0.1', 51238) :- sent: d
[2025-10-11 | 10:07:31] {Guest} ('127.0.0.1', 51237) :- received: Guest: d
[2025-10-11 | 10:07:31] {Guest} ('127.0.0.1', 51238) :- sent: s
[2025-10-11 | 10:07:31] {jeet} ('127.0.0.1', 51259) :- received: Guest: s

[2025-10-11 | 10:07:31] {Guest} ('127.0.0.1', 51238) :- sent: d
[2025-10-11 | 10:07:31] {jeet} ('127.0.0.1', 51259) :- received: Guest: d

[2025-10-11 | 10:07:31] {Guest} ('127.0.0.1', 51238) :- sent: s
[2025-10-11 | 10:07:31] {jeet} ('127.0.0.1', 51259) :- received: Guest: s

[2025-10-11 | 10:07:31] {Guest} ('127.0.0.1', 51238) :- sent: d
[2025-10-11 | 10:07:31] {jeet} ('127.0.0.1', 51259) :- received: Guest: d

[2025-10-11 | 10:07:32] {Guest} ('127.0.0.1', 51238) :- sent: s
[2025-10-11 | 10:07:32] {jeet} ('127.0.0.1', 51259) :- received: Guest: s

[2025-10-11 | 10:07:34] {Guest} ('127.0.0.1', 51237) :- sent: sd
[2025-10-11 | 10:07:34] {jeet} ('127.0.0.1', 51259) :- received: Guest: sd

[2025-10-11 | 10:07:34] {Guest} ('127.0.0.1', 51237) :- sent: s
[2025-10-11 | 10:07:34] {jeet} ('127.0.0.1', 51259) :- received: Guest: s

[2025-10-11 | 10:07:34] {Guest} ('127.0.0.1', 51237) :- sent: d
[2025-10-11 | 10:07:34] {Guest} ('127.0.0.1', 51238) :- received: Guest: d
[2025-10-11 | 10:07:34] {Guest} ('127.0.0.1', 51237) :- sent: s
[2025-10-11 | 10:07:34] {Guest} ('127.0.0.1', 51238) :- received: Guest: s
[2025-10-11 | 10:07:34] {Guest} ('127.0.0.1', 51237) :- sent: d
[2025-10-11 | 10:07:34] {jeet} ('127.0.0.1', 51259) :- received: Guest: d
[2025-10-11 | 10:07:34] {Guest} ('127.0.0.1', 51238) :- received: Guest: d
[2025-10-11 | 10:07:34] {Guest} ('127.0.0.1', 51237) :- sent: s
[2025-10-11 | 10:07:34] {Guest} ('127.0.0.1', 51238) :- received: Guest: s
[2025-10-11 | 10:07:34] {Guest} ('127.0.0.1', 51237) :- sent: d
[2025-10-11 | 10:07:34] {jeet} ('127.0.0.1', 51259) :- received: Guest: d

[2025-10-11 | 10:07:35] {Guest} ('127.0.0.1', 51237) :- sent: s
[2025-10-11 | 10:07:35] {jeet} ('127.0.0.1', 51259) :- received: Guest: s

[2025-10-11 | 10:07:35] {Guest} ('127.0.0.1', 51237) :- sent: s
[2025-10-11 | 10:07:35] {Guest} ('127.0.0.1', 51238) :- received: Guest: s
[2025-10-11 | 10:07:35] {Guest} ('127.0.0.1', 51237) :- sent: d
[2025-10-11 | 10:07:35] {jeet} ('127.0.0.1', 51259) :- received: Guest: d

[2025-10-11 | 10:07:38] {Guest} ('127.0.0.1', 51237) :- received: jeet disconnected.
[2025-10-11 | 10:07:38] {Guest} ('127.0.0.1', 51238) :- received: jeet disconnected.
[2025-10-11 | 10:07:41] {Guest} ('127.0.0.1', 51237) :- received: Guest disconnected.
[2025-10-11 | 10:07:43] {Guest} ('127.0.0.1', 51237) :- sent: ssd
[2025-10-11 | 10:07:43] {Guest} ('127.0.0.1', 51237) :- sent: s
[2025-10-11 | 10:07:43] {Guest} ('127.0.0.1', 51237) :- sent: dsd
[2025-10-11 | 10:07:43] {Guest} ('127.0.0.1', 51237) :- sent: s
[2025-10-11 | 10:07:44] {Guest} ('127.0.0.1', 51237) :- sent: d
[2025-10-11 | 10:07:44] {Guest} ('127.0.0.1', 51237) :- sent: s
[2025-10-11 | 10:07:45] {Guest} ('127.0.0.1', 51237) :- sent: ds
[2025-10-11 | 10:36:02] {jeet} ('127.0.0.1', 57402) :- joined the room
[2025-10-11 | 10:36:05] {jeet} ('127.0.0.1', 57402) :- sent: hi
[2025-10-11 | 10:36:16] {jeet} ('127.0.0.1', 57402) :- sent: hi
[2025-10-11 | 10:36:28] {jex} ('127.0.0.1', 57422) :- joined the room
[2025-10-11 | 10:36:28] {jeet} ('127.0.0.1', 57402) :- received: jex joined the room.
[2025-10-11 | 10:36:29] {jex} ('127.0.0.1', 57422) :- received: ('127.0.0.1', 57417) joined the room.
[2025-10-11 | 10:36:29] {jeet} ('127.0.0.1', 57402) :- received: ('127.0.0.1', 57417) joined the room.
[2025-10-11 | 10:36:34] {jjex1} ('127.0.0.1', 57417) :- joined the room
[2025-10-11 | 10:36:34] {jeet} ('127.0.0.1', 57402) :- received: ('127.0.0.1', 57417): jjex1
[2025-10-11 | 10:36:34] {jjex1} ('127.0.0.1', 57417) :- received: jex joined the room.
[2025-10-11 | 10:36:36] {jjex1} ('127.0.0.1', 57417) :- sent: hi
[2025-10-11 | 10:36:36] {jex} ('127.0.0.1', 57422) :- received: ('127.0.0.1', 57417): hi
[2025-10-11 | 10:36:36] {jeet} ('127.0.0.1', 57402) :- received: ('127.0.0.1', 57417): hi
[2025-10-11 | 10:36:41] {jjex1} ('127.0.0.1', 57417) :- receive loop exited
[2025-10-11 | 10:36:47] {jeet} ('127.0.0.1', 57402) :- sent: hi
[2025-10-11 | 10:36:47] {jex} ('127.0.0.1', 57422) :- received: jeet: hi
[2025-10-11 | 10:36:50] {jjex1} ('127.0.0.1', 57417) :- client exited
[2025-10-11 | 10:36:52] {jex} ('127.0.0.1', 57422) :- sent: hi
[2025-10-11 | 10:36:52] {jeet} ('127.0.0.1', 57402) :- received: jex: hi
[2025-10-11 | 10:37:07] {jeet} ('127.0.0.1', 57402) :- received: jex disconnected.
[2025-10-11 | 10:37:10] {jeet} ('127.0.0.1', 57402) :- receive loop exited
[2025-10-11 | 10:37:13] {jeet} ('127.0.0.1', 57402) :- client exited
[2025-10-11 | 11:35:03] {client} ('127.0.0.1', 53854) :- joined the room
[2025-10-11 | 11:35:05] {client} ('127.0.0.1', 53854) :- sent: hi
[2025-10-11 | 11:35:16] {client} ('127.0.0.1', 53878) :- joined the room
[2025-10-11 | 11:35:16] {client} ('127.0.0.1', 53854) :- received: client joined the room.
[2025-10-11 | 11:35:28] {client} ('127.0.0.1', 53854) :- received: jeet joined the room.
[2025-10-11 | 11:35:28] {jeet} ('127.0.0.1', 53895) :- joined the room
[2025-10-11 | 11:35:28] {client} ('127.0.0.1', 53878) :- received: jeet joined the room.
[2025-10-11 | 11:35:35] {jeet} ('127.0.0.1', 53895) :- sent: hi
[2025-10-11 | 11:35:35] {client} ('127.0.0.1', 53878) :- received: jeet: hi
[2025-10-11 | 11:35:35] {client} ('127.0.0.1', 53854) :- received: jeet: hi
[2025-10-11 | 11:35:39] {jeet} ('127.0.0.1', 53895) :- sent: hello
[2025-10-11 | 11:35:39] {client} ('127.0.0.1', 53878) :- received: jeet: hello
[2025-10-11 | 11:35:39] {client} ('127.0.0.1', 53854) :- received: jeet: hello
[2025-10-11 | 11:35:43] {client} ('127.0.0.1', 53854) :- sent: f
[2025-10-11 | 11:35:43] {client} ('127.0.0.1', 53878) :- received: client: f
[2025-10-11 | 11:35:43] {jeet} ('127.0.0.1', 53895) :- received: client: f
[2025-10-11 | 11:35:45] {client} ('127.0.0.1', 53878) :- sent: sfa
[2025-10-11 | 11:35:45] {client} ('127.0.0.1', 53854) :- received: client: sfa
[2025-10-11 | 11:35:45] {jeet} ('127.0.0.1', 53895) :- received: client: sfa
[2025-10-11 | 11:35:47] {jeet} ('127.0.0.1', 53895) :- sent: saff
[2025-10-11 | 11:35:47] {client} ('127.0.0.1', 53854) :- received: jeet: saff
[2025-10-11 | 11:36:27] {client} ('127.0.0.1', 53878) :- received: jeet disconnected.
[2025-10-11 | 11:36:27] {client} ('127.0.0.1', 53854) :- received: jeet disconnected.
[2025-10-11 | 11:36:28] {client} ('127.0.0.1', 53854) :- received: client disconnected.
[2025-10-11 | 11:38:15] {jeet1} ('127.0.0.1', 54020) :- joined the room
[2025-10-11 | 11:38:20] {jeet1} ('127.0.0.1', 54020) :- sent: hi
[2025-10-11 | 11:38:23] {jeet1} ('127.0.0.1', 54020) :- sent: \quit
[2025-10-11 | 11:38:27] {jeet1} ('127.0.0.1', 54020) :- sent: /quit
[2025-10-11 | 11:38:27] {jeet1} ('127.0.0.1', 54020) :- client exited
[2025-10-11 | 11:38:37] {client} ('127.0.0.1', 54032) :- joined the room
[2025-10-11 | 11:38:39] {client} ('127.0.0.1', 54032) :- sent: hi
[2025-10-11 | 11:38:43] {client} ('127.0.0.1', 54032) :- receive loop exited
[2025-10-11 | 11:38:51] {client} ('127.0.0.1', 54032) :- client exited
[2025-10-11 | 13:34:45] {client} ('127.0.0.1', 63551) :- joined the room
[2025-10-11 | 13:34:46] {client} ('127.0.0.1', 63553) :- joined the room
joined the room.
[2025-10-11 | 13:34:55] {client} ('127.0.0.1', 63551) :- sent: hi
[2025-10-11 | 13:34:55] {client} ('127.0.0.1', 63553) :- received: client: hi
[2025-10-11 | 13:34:57] {client} ('127.0.0.1', 63553) :- sent: hi
[2025-10-11 | 13:34:57] {client} ('127.0.0.1', 63551) :- received: client: hi
[2025-10-11 | 13:34:59] {client} ('127.0.0.1', 63551) :- sent: hi
[2025-10-11 | 13:34:59] {client} ('127.0.0.1', 63553) :- received: client: hi
[2025-10-11 | 13:35:02] {client} ('127.0.0.1', 63553) :- sent: hi
[2025-10-11 | 13:35:02] {client} ('127.0.0.1', 63551) :- received: client: hi
[2025-10-11 | 13:35:05] {client} ('127.0.0.1', 63551) :- received: client disconnected.
[2025-10-11 | 13:35:09] {client} ('127.0.0.1', 63551) :- receive loop exited
[2025-10-11 | 13:35:12] {client} ('127.0.0.1', 63551) :- client exited
